candidate_id,rank,score,reasoning
CAND_0018549,1,26.6879,"6.8 yrs exp as Recommendation Systems Engineer. Highly responsive (73%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\u2696\ufe0f Balanced"", ""stability"": 1.2, ""modesty_score"": 1.0, ""semantic_score"": 26687.9, ""personality"": {""conscientiousness"": 79, ""openness"": 35, ""extraversion"": 48, ""agreeableness"": 61}, ""exec_summary"": ""The candidate is a highly qualified Recommendation Systems Engineer with 6.8 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 26687.9. Beyond technical skills, they exhibit an exceptionally stable career trajectory and is a focused individual contributor. Their personality matrix indicates high conscientiousness (79%) and openness (35%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Computer Vision"", ""Weaviate"", ""Kubernetes"", ""Elasticsearch"", ""BigQuery""]}"
CAND_0091534,2,24.6521,"16.6 yrs exp as AI Engineer. Highly responsive (84%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.0, ""modesty_score"": 0.9, ""semantic_score"": 24652.1, ""personality"": {""conscientiousness"": 74, ""openness"": 25, ""extraversion"": 82, ""agreeableness"": 92}, ""exec_summary"": ""The candidate is a highly qualified AI Engineer with 16.6 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 24652.1. Beyond technical skills, they exhibit a dynamic career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (74%) and openness (25%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Hugging Face Transformers"", ""scikit-learn"", ""Diffusion Models"", ""Qdrant"", ""Sentence Transformers""]}"
CAND_0061265,3,23.3438,"6.6 yrs exp as Recommendation Systems Engineer. Highly responsive (94%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.2, ""modesty_score"": 1.0, ""semantic_score"": 23343.8, ""personality"": {""conscientiousness"": 93, ""openness"": 40, ""extraversion"": 89, ""agreeableness"": 56}, ""exec_summary"": ""The candidate is a highly qualified Recommendation Systems Engineer with 6.6 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 23343.8. Beyond technical skills, they exhibit an exceptionally stable career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (93%) and openness (40%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Qdrant"", ""SQL"", ""Accounting"", ""LangChain"", ""Learning to Rank""]}"
CAND_0011162,4,23.216,"5.8 yrs exp as Recommendation Systems Engineer. Highly responsive (75%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""\u2b50 Elite Alumni"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 23216.0, ""personality"": {""conscientiousness"": 81, ""openness"": 92, ""extraversion"": 67, ""agreeableness"": 47}, ""exec_summary"": ""The candidate is a highly qualified Recommendation Systems Engineer with 5.8 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 23216.0. Beyond technical skills, they exhibit a dynamic career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (81%) and openness (92%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Weights & Biases"", ""FAISS"", ""Vector Search"", ""LangChain"", ""CNN""]}"
CAND_0012957,5,22.665,"4.9 yrs exp as Search Engineer. Highly responsive (67%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\u2696\ufe0f Balanced"", ""stability"": 1.2, ""modesty_score"": 1.0, ""semantic_score"": 22665.0, ""personality"": {""conscientiousness"": 80, ""openness"": 87, ""extraversion"": 46, ""agreeableness"": 43}, ""exec_summary"": ""The candidate is a highly qualified Search Engineer with 4.9 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 22665.0. Beyond technical skills, they exhibit an exceptionally stable career trajectory and is a focused individual contributor. Their personality matrix indicates high conscientiousness (80%) and openness (87%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""RAG"", ""PEFT"", ""LangChain"", ""ASR"", ""Deep Learning""]}"
CAND_0075249,6,22.2833,"6.2 yrs exp as Applied ML Engineer. Highly responsive (82%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.2, ""modesty_score"": 1.0, ""semantic_score"": 22283.3, ""personality"": {""conscientiousness"": 84, ""openness"": 35, ""extraversion"": 68, ""agreeableness"": 65}, ""exec_summary"": ""The candidate is a highly qualified Applied ML Engineer with 6.2 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 22283.3. Beyond technical skills, they exhibit an exceptionally stable career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (84%) and openness (35%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Sentence Transformers"", ""Milvus"", ""Machine Learning"", ""Fine-tuning LLMs"", ""MLflow""]}"
CAND_0062247,7,22.1829,"7.3 yrs exp as AI Engineer. Highly responsive (78%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""\u2b50 Elite Alumni"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.2, ""modesty_score"": 1.0, ""semantic_score"": 22182.9, ""personality"": {""conscientiousness"": 78, ""openness"": 42, ""extraversion"": 76, ""agreeableness"": 89}, ""exec_summary"": ""The candidate is a highly qualified AI Engineer with 7.3 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 22182.9. Beyond technical skills, they exhibit an exceptionally stable career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (78%) and openness (42%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Image Classification"", ""OpenCV"", ""Reinforcement Learning"", ""ASR"", ""Pinecone""]}"
CAND_0000031,8,22.0766,"6.0 yrs exp as Recommendation Systems Engineer. Highly responsive (91%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 22076.6, ""personality"": {""conscientiousness"": 85, ""openness"": 42, ""extraversion"": 66, ""agreeableness"": 70}, ""exec_summary"": ""The candidate is a highly qualified Recommendation Systems Engineer with 6.0 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 22076.6. Beyond technical skills, they exhibit a dynamic career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (85%) and openness (42%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Go"", ""MLflow"", ""FAISS"", ""Pinecone"", ""Angular""]}"
CAND_0061339,9,21.98,"4.2 yrs exp as Search Engineer. Highly responsive (90%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 0.8, ""modesty_score"": 1.0, ""semantic_score"": 21980.0, ""personality"": {""conscientiousness"": 79, ""openness"": 35, ""extraversion"": 92, ""agreeableness"": 55}, ""exec_summary"": ""The candidate is a highly qualified Search Engineer with 4.2 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 21980.0. Beyond technical skills, they exhibit a dynamic career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (79%) and openness (35%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Information Retrieval"", ""YOLO"", ""Data Pipelines"", ""Milvus"", ""BentoML""]}"
CAND_0022812,10,21.6657,"4.5 yrs exp as Applied ML Engineer. Highly responsive (79%). | XRAY:{""inflation"": ""\ud83d\udfe2 Low"", ""velocity"": ""Steady"", ""elite"": ""Standard"", ""leadership"": ""\ud83d\udd25 High (Action-Oriented)"", ""stability"": 1.0, ""modesty_score"": 1.0, ""semantic_score"": 21665.7, ""personality"": {""conscientiousness"": 75, ""openness"": 97, ""extraversion"": 49, ""agreeableness"": 64}, ""exec_summary"": ""The candidate is a highly qualified Applied ML Engineer with 4.5 years of experience. Their semantic profile strongly aligns with the core AI requirements, scoring an elite RRF score of 21665.7. Beyond technical skills, they exhibit a dynamic career trajectory and demonstrates strong action-oriented leadership. Their personality matrix indicates high conscientiousness (75%) and openness (97%), making them an ideal culture fit for a fast-paced product company. Recommendation: Strong Hire.  They are highly responsive and ready to interview."", ""skills"": [""Weaviate"", ""Pinecone"", ""LoRA"", ""Prompt Engineering"", ""Qdrant""]}"
